N,P,K,temperature,humidity,ph,rainfall,crop,location,season,yield
22,65,54,18.8,24.72,5.55,81.52,kidneybeans,Northeast Plain,Whole Year,1.39
26,65,53,16.69,25.38,5.78,87.96,kidneybeans,Western Dry Zone,Whole Year,1.81
27,55,50,18.81,18.8,5.78,89.87,kidneybeans,Central Plateau,Whole Year,1.62
30,67,55,23.34,19.89,5.56,73.69,kidneybeans,Northeast Plain,Zaid,1.37
34,64,62,16.12,20.86,5.44,83.64,kidneybeans,Coastal Delta,Whole Year,1.71
31,51,55,17.95,17.66,5.65,89.82,kidneybeans,Southern Hills,Rabi,1.59
20,61,49,23.67,22.66,5.84,96.16,kidneybeans,Central Plateau,Kharif,1.87
34,57,51,15.64,22.98,5.86,55.73,kidneybeans,Northeast Plain,Whole Year,1.53
25,57,52,16.14,19.59,5.71,56.43,kidneybeans,Northeast Plain,Zaid,1.37
19,61,55,17.04,19.41,5.53,81.3,kidneybeans,Coastal Delta,Rabi,1.7
22,60,53,23.72,25.11,5.43,70.66,kidneybeans,Western Dry Zone,Whole Year,1.79
12,60,57,15.72,25.36,5.97,93.52,kidneybeans,Southern Hills,Rabi,1.17
35,55,62,19.41,20.81,6.03,98.58,kidneybeans,Western Dry Zone,Kharif,1.68
29,65,50,18.38,19.5,5.56,58.08,kidneybeans,Southern Hills,Kharif,1.43
34,61,55,22.47,23.69,5.65,66.65,kidneybeans,Coastal Delta,Kharif,1.21
18,64,55,21.36,18.78,5.65,69.71,kidneybeans,Northeast Plain,Whole Year,1.79
23,63,51,15.92,19.97,5.28,102.96,kidneybeans,Western Dry Zone,Kharif,1.89
23,61,49,19.67,25.45,5.57,97.67,kidneybeans,Northeast Plain,Whole Year,1.64
22,62,56,18.79,19.71,5.42,85.07,kidneybeans,Coastal Delta,Rabi,1.66
27,59,62,21.29,24.61,5.74,90.52,kidneybeans,Coastal Delta,Kharif,1.87
16,63,50,21.83,22.24,5.43,63.82,kidneybeans,Central Plateau,Whole Year,1.16
22,66,62,15.79,24.21,5.92,71.8,kidneybeans,Central Plateau,Kharif,1.4
24,61,56,20.16,25.91,5.9,74.1,kidneybeans,Northeast Plain,Rabi,1.26
15,59,48,23.37,21.87,5.55,71.86,kidneybeans,Central Plateau,Zaid,1.31
15,54,54,21.2,19.72,6.02,94.29,kidneybeans,Southern Hills,Whole Year,1.91
25,64,57,18.65,22.65,5.67,70.41,kidneybeans,Western Dry Zone,Rabi,1.56
23,66,56,23.13,21.1,5.74,67.15,kidneybeans,Western Dry Zone,Kharif,1.74
26,58,57,20.03,21.37,6.29,86.5,kidneybeans,Northeast Plain,Kharif,1.84
23,65,52,22.86,19.18,5.6,68.16,kidneybeans,Coastal Delta,Zaid,1.65
33,67,64,18.96,21.1,5.65,66.21,kidneybeans,Central Plateau,Whole Year,1.29
19,58,49,18.07,20.81,5.77,64.22,kidneybeans,Northeast Plain,Zaid,1.82
28,64,59,18.93,22.87,5.51,65.01,kidneybeans,Coastal Delta,Zaid,1.9
16,55,54,14.54,19.42,5.7,64.8,kidneybeans,Coastal Delta,Kharif,1.87
15,70,65,19.83,24.14,5.71,68.55,kidneybeans,Central Plateau,Whole Year,1.59
28,57,62,22.01,21.13,5.51,93.58,kidneybeans,Southern Hills,Kharif,1.78
20,67,59,21.46,20.1,5.97,71.11,kidneybeans,Western Dry Zone,Rabi,1.18
19,58,55,14.88,16.69,5.84,83.01,kidneybeans,Southern Hills,Zaid,1.64
31,56,52,22.86,24.81,5.63,84.99,kidneybeans,Central Plateau,Whole Year,1.36
21,61,59,18.97,15.22,5.81,101.97,kidneybeans,Central Plateau,Zaid,1.57
24,61,51,20.19,17.82,5.89,61.29,kidneybeans,Western Dry Zone,Whole Year,1.26
19,54,54,18.6,23.43,5.8,81.95,kidneybeans,Coastal Delta,Rabi,1.47
22,58,53,22.92,23.21,5.88,95.59,kidneybeans,Western Dry Zone,Whole Year,1.85
17,68,50,22.54,25.23,5.63,64.66,kidneybeans,Central Plateau,Kharif,1.25
31,58,58,15.2,19.15,6.11,67.3,kidneybeans,Central Plateau,Rabi,1.44
27,60,55,21.8,18.14,5.75,61.84,kidneybeans,Northeast Plain,Kharif,1.24
29,58,61,21.09,24.5,5.73,77.84,kidneybeans,Central Plateau,Zaid,1.83
15,51,55,17.83,20.23,5.64,82.4,kidneybeans,Southern Hills,Kharif,1.46
29,62,56,15.67,21.4,5.66,98.35,kidneybeans,Northeast Plain,Whole Year,1.33
25,57,53,20.51,21.84,5.53,70.93,kidneybeans,Coastal Delta,Rabi,1.62
24,61,57,21.34,19.62,5.63,85.32,kidneybeans,Northeast Plain,Zaid,1.64
18,58,60,16.87,23.45,5.4,93.19,kidneybeans,Central Plateau,Kharif,1.84
23,60,49,23.28,19.18,5.98,57.78,kidneybeans,Central Plateau,Rabi,1.62
30,55,57,19.8,18.86,5.61,86.14,kidneybeans,Western Dry Zone,Zaid,1.58
25,66,52,18.21,22.97,5.92,79.22,kidneybeans,Coastal Delta,Kharif,1.45
26,56,53,19.48,18.24,6.16,71.98,kidneybeans,Northeast Plain,Whole Year,1.66
21,58,48,21.44,16.5,6.11,63.72,kidneybeans,Southern Hills,Whole Year,1.44
19,62,57,22.75,22.08,6.1,72.59,kidneybeans,Central Plateau,Kharif,1.27
33,57,52,23.2,17.6,5.99,95.95,kidneybeans,Central Plateau,Zaid,1.43
20,61,56,19.35,18.48,5.53,92.26,kidneybeans,Northeast Plain,Whole Year,1.74
19,63,51,21.91,18.98,5.62,65.94,kidneybeans,Southern Hills,Zaid,1.32
23,62,61,16.27,19.48,5.85,91.69,kidneybeans,Central Plateau,Rabi,1.38
23,60,61,20.23,19.69,6.03,61.71,kidneybeans,Central Plateau,Rabi,1.6
25,56,62,22.67,22.18,5.88,87.89,kidneybeans,Northeast Plain,Kharif,1.71
27,66,64,23.74,17.45,5.67,68.51,kidneybeans,Northeast Plain,Zaid,1.56
26,53,47,21.75,21.73,6.04,93.78,kidneybeans,Northeast Plain,Rabi,1.24
19,56,62,22.07,22.29,5.94,79.09,kidneybeans,Coastal Delta,Rabi,1.59
27,56,52,18.33,20.19,5.45,91.46,kidneybeans,Western Dry Zone,Zaid,1.71
19,56,47,19.85,25.34,5.87,71.6,kidneybeans,Coastal Delta,Kharif,1.18
31,67,55,21.29,18.09,5.59,85.83,kidneybeans,Northeast Plain,Rabi,1.92
23,55,60,17.49,19.4,6.19,98.94,kidneybeans,Coastal Delta,Whole Year,1.36
24,59,53,16.57,23.58,5.43,69.88,kidneybeans,Central Plateau,Kharif,1.88
15,69,58,15.98,22.61,6.06,77.75,kidneybeans,Central Plateau,Whole Year,1.58
30,64,51,19.72,26.25,5.68,107.6,kidneybeans,Western Dry Zone,Kharif,1.7
24,59,57,18.77,15.04,5.58,64.45,kidneybeans,Northeast Plain,Zaid,1.93
22,66,50,19.47,19.79,5.63,82.17,kidneybeans,Western Dry Zone,Kharif,1.63
30,56,53,24.21,17.63,5.58,102.87,kidneybeans,Northeast Plain,Whole Year,1.24
31,64,23,29.36,43.86,5.73,119.99,pigeonpeas,Western Dry Zone,Kharif,1.94
25,78,26,20.32,58.25,6.6,119.69,pigeonpeas,Central Plateau,Rabi,2.68
31,67,16,26.83,52.8,5.97,111.76,pigeonpeas,Coastal Delta,Whole Year,2.29
37,75,21,24.05,43.3,6.02,107.62,pigeonpeas,Northeast Plain,Rabi,2.38
36,78,25,28.45,55.18,6.5,103.96,pigeonpeas,Northeast Plain,Rabi,2.13
18,76,13,26.21,53.15,5.78,121.67,pigeonpeas,Western Dry Zone,Kharif,2.52
36,68,27,24.62,54.05,6.66,96.86,pigeonpeas,Western Dry Zone,Rabi,2.54
31,75,20,20.12,53.91,6.43,127.68,pigeonpeas,Southern Hills,Zaid,2.0
22,64,22,20.2,52.75,5.79,100.42,pigeonpeas,Coastal Delta,Rabi,2.04
17,66,25,21.59,55.84,6.15,105.61,pigeonpeas,Southern Hills,Rabi,2.07
28,69,29,21.39,49.25,6.06,111.02,pigeonpeas,Coastal Delta,Whole Year,1.58
16,82,16,21.77,60.85,6.14,111.63,pigeonpeas,Southern Hills,Kharif,2.19
19,65,24,23.19,54.21,5.52,132.97,pigeonpeas,Coastal Delta,Whole Year,2.52
32,65,22,20.91,55.52,5.97,101.36,pigeonpeas,Western Dry Zone,Zaid,2.38
31,71,20,24.29,51.7,6.4,106.71,pigeonpeas,Southern Hills,Rabi,1.76
23,80,23,24.42,49.93,6.5,130.02,pigeonpeas,Coastal Delta,Whole Year,1.94
32,77,17,24.35,48.01,5.69,126.46,pigeonpeas,Northeast Plain,Whole Year,2.32
28,74,20,28.35,55.42,5.52,107.54,pigeonpeas,Southern Hills,Whole Year,1.56
26,70,23,23.66,55.98,6.64,118.79,pigeonpeas,Northeast Plain,Zaid,2.4
29,72,28,20.34,56.16,6.63,124.48,pigeonpeas,Central Plateau,Zaid,2.62
29,70,19,21.03,54.5,5.52,111.71,pigeonpeas,Northeast Plain,Kharif,2.46
20,67,22,27.86,49.86,6.42,142.18,pigeonpeas,Western Dry Zone,Zaid,1.55
30,74,19,26.35,58.29,6.36,102.62,pigeonpeas,Southern Hills,Rabi,1.67
32,68,21,25.68,53.95,6.02,106.57,pigeonpeas,Southern Hills,Whole Year,2.05
25,81,21,27.54,45.23,6.38,97.46,pigeonpeas,Western Dry Zone,Kharif,1.92
16,69,12,22.28,50.22,5.31,110.15,pigeonpeas,Central Plateau,Kharif,1.84
31,74,16,30.63,59.14,6.1,110.06,pigeonpeas,Coastal Delta,Zaid,1.76
29,74,15,20.46,50.35,5.86,100.34,pigeonpeas,Northeast Plain,Whole Year,2.08
25,78,17,21.03,59.91,5.77,122.38,pigeonpeas,Northeast Plain,Zaid,1.54
27,77,21,26.19,49.44,6.55,99.9,pigeonpeas,Northeast Plain,Rabi,1.79
36,67,14,24.7,46.39,6.18,131.48,pigeonpeas,Coastal Delta,Zaid,1.55
36,78,13,27.56,57.36,6.16,88.59,pigeonpeas,Northeast Plain,Rabi,1.9
31,72,23,29.63,48.57,5.91,117.59,pigeonpeas,Southern Hills,Zaid,2.64
21,80,14,21.46,59.7,6.71,84.18,pigeonpeas,Coastal Delta,Whole Year,1.78
19,78,18,23.86,57.95,5.92,135.93,pigeonpeas,Southern Hills,Zaid,2.02
36,68,17,27.75,46.13,5.85,113.18,pigeonpeas,Coastal Delta,Kharif,2.62
28,79,23,21.69,52.51,6.62,103.72,pigeonpeas,Northeast Plain,Kharif,1.56
37,82,27,23.02,52.57,6.54,123.64,pigeonpeas,Southern Hills,Zaid,1.73
24,67,18,29.4,58.17,6.25,97.27,pigeonpeas,Northeast Plain,Rabi,2.46
30,69,17,24.45,55.38,6.41,112.74,pigeonpeas,Coastal Delta,Whole Year,2.33
25,67,29,29.32,51.41,7.07,105.31,pigeonpeas,Southern Hills,Rabi,1.53
26,69,18,22.2,47.25,5.81,90.69,pigeonpeas,Southern Hills,Zaid,1.96
17,66,20,19.61,56.49,6.91,118.13,pigeonpeas,Southern Hills,Kharif,1.97
29,71,21,29.47,44.46,6.08,133.02,pigeonpeas,Coastal Delta,Kharif,1.62
20,78,15,27.84,48.4,5.96,136.8,pigeonpeas,Coastal Delta,Kharif,1.94
23,67,19,21.77,48.18,6.81,122.55,pigeonpeas,Northeast Plain,Rabi,2.36
19,75,21,23.97,57.69,6.21,130.94,pigeonpeas,Southern Hills,Zaid,1.78
24,73,21,26.37,46.21,6.42,131.91,pigeonpeas,Northeast Plain,Zaid,2.38
23,65,20,23.15,53.34,6.36,108.92,pigeonpeas,Central Plateau,Whole Year,2.22
25,70,30,19.37,55.14,6.38,114.53,pigeonpeas,Northeast Plain,Rabi,1.84
36,68,18,24.81,45.46,5.75,127.87,pigeonpeas,Coastal Delta,Whole Year,2.3
21,80,24,27.99,46.73,5.63,99.97,pigeonpeas,Coastal Delta,Whole Year,2.29
27,78,23,27.68,44.53,6.19,123.55,pigeonpeas,Coastal Delta,Kharif,1.65
26,71,17,26.6,44.82,6.53,131.2,pigeonpeas,Central Plateau,Kharif,1.79
17,65,15,26.72,54.5,5.36,105.18,pigeonpeas,Southern Hills,Zaid,2.53
26,72,17,29.29,59.36,6.71,110.1,pigeonpeas,Northeast Plain,Rabi,1.64
29,80,23,25.89,45.8,6.02,121.11,pigeonpeas,Western Dry Zone,Rabi,2.71
31,74,20,23.26,52.35,6.7,117.93,pigeonpeas,Coastal Delta,Zaid,1.97
29,74,21,25.17,49.68,5.97,133.88,pigeonpeas,Southern Hills,Rabi,1.72
35,67,21,22.68,54.77,6.04,95.14,pigeonpeas,Central Plateau,Rabi,2.2
27,69,11,29.29,54.18,6.09,82.66,pigeonpeas,Northeast Plain,Zaid,2.41
30,66,20,27.99,50.12,5.68,111.68,pigeonpeas,Coastal Delta,Zaid,1.82
31,79,28,22.3,59.39,5.9,95.79,pigeonpeas,Southern Hills,Rabi,1.47
38,66,28,24.71,61.29,6.09,130.92,pigeonpeas,Southern Hills,Rabi,1.72
38,62,21,22.61,58.05,5.24,116.76,pigeonpeas,Coastal Delta,Zaid,2.53
37,71,25,26.65,45.21,6.11,130.47,pigeonpeas,Central Plateau,Kharif,2.45
36,76,22,20.6,48.8,6.39,133.99,pigeonpeas,Coastal Delta,Kharif,1.84
31,68,29,26.04,52.0,6.21,108.44,pigeonpeas,Northeast Plain,Rabi,1.65
37,72,24,25.69,56.5,6.49,109.09,pigeonpeas,Southern Hills,Zaid,2.22
20,75,20,25.49,46.91,6.49,109.62,pigeonpeas,Coastal Delta,Zaid,2.55
23,77,19,23.66,58.32,6.08,92.0,pigeonpeas,Central Plateau,Zaid,1.72
33,78,21,22.3,55.34,6.21,128.55,pigeonpeas,Western Dry Zone,Zaid,2.51
24,79,15,21.32,50.11,6.05,113.42,pigeonpeas,Western Dry Zone,Zaid,2.14
20,68,16,29.42,47.55,6.5,111.98,pigeonpeas,Western Dry Zone,Rabi,2.63
25,72,29,25.13,43.62,6.49,143.15,pigeonpeas,Southern Hills,Kharif,1.47
26,61,25,23.9,49.05,6.23,138.81,pigeonpeas,Northeast Plain,Rabi,1.5
32,69,13,28.87,49.22,6.46,131.68,pigeonpeas,Northeast Plain,Zaid,2.0
26,64,20,23.26,55.02,6.37,117.1,pigeonpeas,Central Plateau,Rabi,1.93
22,66,19,27.25,47.93,6.15,115.91,pigeonpeas,Northeast Plain,Whole Year,2.46
36,74,14,27.77,57.66,5.94,120.37,pigeonpeas,Coastal Delta,Whole Year,1.93
29,64,24,29.62,53.36,6.58,105.18,pigeonpeas,Northeast Plain,Rabi,2.23
28,77,23,26.68,49.28,6.57,106.73,pigeonpeas,Northeast Plain,Kharif,1.77
28,69,17,23.18,52.84,5.73,126.72,pigeonpeas,Central Plateau,Kharif,1.64
31,68,20,27.58,62.27,6.49,111.43,pigeonpeas,Central Plateau,Rabi,2.23
30,64,20,22.46,51.35,5.4,101.11,pigeonpeas,Northeast Plain,Rabi,2.59
17,76,24,19.7,47.48,6.54,134.02,pigeonpeas,Southern Hills,Zaid,2.27
24,71,20,20.97,53.07,6.12,98.81,pigeonpeas,Northeast Plain,Kharif,2.02
23,65,30,26.2,50.33,5.49,97.74,pigeonpeas,Central Plateau,Zaid,2.4
23,70,24,22.81,56.55,6.32,108.2,pigeonpeas,Western Dry Zone,Kharif,2.19
22,75,25,26.82,46.29,6.6,94.92,pigeonpeas,Coastal Delta,Whole Year,1.54
25,70,15,21.69,60.48,6.49,113.06,pigeonpeas,Coastal Delta,Whole Year,1.55
37,61,20,26.1,59.46,6.29,107.13,pigeonpeas,Southern Hills,Kharif,1.52
26,71,21,23.93,54.88,6.7,115.66,pigeonpeas,Southern Hills,Rabi,2.59
22,72,23,21.41,48.26,6.91,123.05,pigeonpeas,Coastal Delta,Zaid,2.62
40,68,15,21.64,60.53,5.8,131.14,pigeonpeas,Central Plateau,Whole Year,1.61
37,74,20,19.67,49.53,5.66,115.3,pigeonpeas,Southern Hills,Whole Year,1.48
31,74,21,24.02,48.5,6.2,98.32,pigeonpeas,Coastal Delta,Zaid,2.12
33,81,22,20.94,46.22,6.59,133.49,pigeonpeas,Northeast Plain,Whole Year,2.09
32,77,14,20.21,56.92,6.61,103.14,pigeonpeas,Coastal Delta,Zaid,1.78
29,66,22,24.96,47.74,6.79,113.26,pigeonpeas,Central Plateau,Zaid,2.5
21,42,15,25.96,60.66,7.23,48.2,mothbeans,Central Plateau,Zaid,1.35
14,37,14,26.03,56.05,6.83,27.23,mothbeans,Central Plateau,Rabi,1.25
15,41,23,27.98,52.67,6.38,41.93,mothbeans,Central Plateau,Whole Year,0.83
21,42,15,24.55,53.6,7.68,49.75,mothbeans,Coastal Delta,Kharif,1.22
22,42,19,24.38,43.93,6.93,31.1,mothbeans,Southern Hills,Whole Year,1.17
19,54,20,27.73,54.94,6.84,56.19,mothbeans,Southern Hills,Whole Year,1.36
27,44,22,27.63,48.57,7.04,55.8,mothbeans,Northeast Plain,Whole Year,1.4
17,60,15,27.28,49.14,6.86,39.21,mothbeans,Southern Hills,Zaid,1.41
18,42,18,29.44,42.92,6.97,52.99,mothbeans,Western Dry Zone,Kharif,1.14
27,48,26,28.84,44.79,6.99,41.83,mothbeans,Southern Hills,Zaid,1.41
22,50,23,30.08,51.07,6.59,43.38,mothbeans,Southern Hills,Zaid,1.28
30,53,24,29.52,55.97,6.76,29.38,mothbeans,Northeast Plain,Rabi,0.99
20,39,25,30.15,50.46,7.45,35.99,mothbeans,Central Plateau,Zaid,1.03
21,51,22,29.03,44.96,7.3,28.06,mothbeans,Coastal Delta,Whole Year,1.04
22,47,21,27.48,42.32,6.66,28.75,mothbeans,Northeast Plain,Zaid,0.83
15,36,11,29.63,50.29,7.03,39.16,mothbeans,Coastal Delta,Zaid,0.97
17,55,16,27.49,39.72,6.73,43.89,mothbeans,Central Plateau,Kharif,1.44
21,51,27,28.96,54.91,6.36,53.9,mothbeans,Northeast Plain,Kharif,1.3
14,50,17,29.02,55.7,7.11,35.15,mothbeans,Coastal Delta,Whole Year,1.38
22,40,16,27.78,49.81,7.24,43.53,mothbeans,Central Plateau,Zaid,1.07
20,43,25,30.7,40.75,6.88,48.13,mothbeans,Central Plateau,Whole Year,0.95
14,42,24,25.4,54.92,6.99,30.74,mothbeans,Central Plateau,Rabi,1.4
17,51,18,29.32,61.87,7.38,54.8,mothbeans,Central Plateau,Whole Year,0.85
20,54,18,30.42,60.47,7.24,52.67,mothbeans,Central Plateau,Rabi,0.87
22,50,17,28.88,52.98,6.53,34.52,mothbeans,Western Dry Zone,Kharif,0.91
18,43,17,28.21,61.55,7.17,39.0,mothbeans,Central Plateau,Kharif,0.83
10,48,18,28.29,48.98,6.42,34.97,mothbeans,Coastal Delta,Whole Year,1.46
17,52,21,24.81,56.4,7.16,40.6,mothbeans,Coastal Delta,Whole Year,0.9
24,42,17,29.72,49.3,7.01,46.61,mothbeans,Western Dry Zone,Whole Year,0.94
17,57,20,28.44,57.75,6.62,33.07,mothbeans,Central Plateau,Whole Year,1.41
26,47,19,30.3,61.81,7.06,46.97,mothbeans,Coastal Delta,Kharif,0.97
15,54,26,29.03,52.54,6.39,48.31,mothbeans,Central Plateau,Kharif,0.84
22,49,16,30.62,59.2,7.11,56.73,mothbeans,Central Plateau,Whole Year,0.82
16,48,26,27.48,41.4,7.12,56.87,mothbeans,Coastal Delta,Kharif,1.22
25,53,15,28.97,42.69,7.21,34.18,mothbeans,Western Dry Zone,Kharif,0.98
21,44,28,25.83,56.74,7.32,44.22,mothbeans,Coastal Delta,Whole Year,1.34
23,43,25,28.95,51.51,6.72,53.65,mothbeans,Western Dry Zone,Zaid,1.46
21,46,26,28.66,57.16,7.28,36.62,mothbeans,Coastal Delta,Rabi,1.23
27,46,16,25.48,41.32,6.25,42.27,mothbeans,Coastal Delta,Kharif,0.88
20,45,22,27.88,52.37,7.32,47.43,mothbeans,Western Dry Zone,Rabi,0.84
25,50,13,28.73,53.18,6.75,46.58,mothbeans,Western Dry Zone,Kharif,1.01
26,56,17,26.9,59.53,6.44,36.12,mothbeans,Western Dry Zone,Rabi,1.41
28,49,21,29.52,45.65,6.83,52.17,mothbeans,Central Plateau,Zaid,1.17
20,45,24,25.34,55.83,6.36,39.37,mothbeans,Western Dry Zone,Rabi,1.05
20,48,22,30.79,43.06,7.05,32.54,mothbeans,Central Plateau,Rabi,1.18
21,37,23,28.43,39.84,7.21,40.51,mothbeans,Western Dry Zone,Kharif,0.8
13,37,18,25.24,46.0,6.7,47.28,mothbeans,Northeast Plain,Rabi,1.19
17,42,22,26.84,44.17,6.77,44.47,mothbeans,Southern Hills,Rabi,1.32
26,44,23,25.17,43.86,7.65,37.87,mothbeans,Northeast Plain,Kharif,0.92
29,44,22,27.44,50.11,6.54,33.93,mothbeans,Western Dry Zone,Rabi,1.38
28,36,26,27.19,53.84,7.11,60.63,mothbeans,Southern Hills,Rabi,0.93
21,49,27,29.0,44.5,6.36,29.48,mothbeans,Western Dry Zone,Kharif,1.14
20,57,24,27.92,50.45,7.51,36.69,mothbeans,Central Plateau,Whole Year,1.19
20,44,24,24.8,49.74,7.23,29.58,mothbeans,Central Plateau,Rabi,1.37
21,50,16,28.44,43.36,7.44,43.87,mothbeans,Northeast Plain,Kharif,1.32
20,43,25,28.26,48.63,7.12,52.54,mothbeans,Western Dry Zone,Rabi,0.9
16,55,17,28.98,54.73,6.4,63.31,mothbeans,Coastal Delta,Zaid,1.03
30,39,15,27.15,55.7,6.47,37.13,mothbeans,Northeast Plain,Rabi,1.41
26,56,25,28.07,45.93,7.29,46.02,mothbeans,Northeast Plain,Zaid,0.98
23,39,23,26.93,44.04,6.59,44.14,mothbeans,Coastal Delta,Rabi,0.89
16,59,19,27.63,55.28,7.67,59.32,mothbeans,Northeast Plain,Kharif,1.1
21,47,21,24.94,46.19,6.82,56.52,mothbeans,Coastal Delta,Whole Year,0.95
14,51,20,26.96,60.24,7.06,24.04,mothbeans,Northeast Plain,Zaid,1.05
16,46,20,26.08,40.94,7.7,45.38,mothbeans,Southern Hills,Kharif,0.81
22,53,15,25.73,59.05,6.8,44.16,mothbeans,Central Plateau,Whole Year,1.19
22,50,17,28.01,52.88,7.31,39.79,mothbeans,Central Plateau,Rabi,1.16
25,50,13,27.04,43.68,6.74,33.18,mothbeans,Western Dry Zone,Rabi,1.14
22,48,24,28.14,53.69,7.56,61.69,mothbeans,Western Dry Zone,Rabi,1.28
17,48,11,27.13,61.44,7.19,58.32,mothbeans,Coastal Delta,Rabi,1.38
15,57,28,26.43,57.18,6.71,58.59,mothbeans,Southern Hills,Whole Year,1.41
22,47,22,27.55,51.88,7.16,60.32,mothbeans,Coastal Delta,Kharif,1.29
24,42,22,29.18,37.82,7.08,58.95,mothbeans,Coastal Delta,Kharif,0.97
27,46,26,25.17,55.02,6.71,47.16,mothbeans,Western Dry Zone,Kharif,1.16
18,58,20,25.54,49.5,7.47,40.46,mothbeans,Coastal Delta,Whole Year,1.35
16,49,11,25.72,47.87,6.73,63.85,mothbeans,Coastal Delta,Zaid,1.15
13,53,18,25.7,45.8,6.47,58.27,mothbeans,Western Dry Zone,Kharif,1.34
17,60,27,28.84,54.84,7.1,46.27,mothbeans,Southern Hills,Whole Year,0.94
22,43,22,26.94,52.68,6.66,48.35,mothbeans,Southern Hills,Whole Year,0.99
22,46,14,27.67,53.02,6.94,58.23,mothbeans,Southern Hills,Rabi,0.93
21,39,20,27.64,42.88,7.34,39.18,mothbeans,Coastal Delta,Rabi,1.02
26,49,20,26.69,39.89,7.29,42.35,mothbeans,Central Plateau,Kharif,0.89
20,54,26,27.44,44.71,7.05,44.28,mothbeans,Central Plateau,Whole Year,1.08
23,47,18,25.32,59.94,6.99,34.46,mothbeans,Coastal Delta,Whole Year,0.98
12,49,24,25.41,54.87,7.12,47.44,mothbeans,Central Plateau,Zaid,1.25
26,46,14,28.01,41.86,6.43,65.11,mothbeans,Central Plateau,Kharif,1.35
25,50,23,28.83,52.86,6.47,37.84,mothbeans,Western Dry Zone,Whole Year,1.29
19,49,22,29.69,47.03,7.27,38.02,mothbeans,Northeast Plain,Rabi,1.45
21,42,15,27.13,61.0,7.23,54.52,mothbeans,Northeast Plain,Rabi,1.36
28,51,23,26.98,46.35,6.96,28.83,mothbeans,Western Dry Zone,Whole Year,1.37
25,53,13,25.16,58.33,7.46,37.52,mothbeans,Western Dry Zone,Zaid,1.24
17,45,29,26.6,42.77,7.22,39.43,mothbeans,Western Dry Zone,Whole Year,1.11
16,49,25,26.1,62.25,7.45,40.87,mothbeans,Southern Hills,Kharif,1.43
24,43,20,28.84,40.85,7.45,39.66,mothbeans,Central Plateau,Rabi,1.05
16,52,13,26.62,49.41,6.67,31.75,mothbeans,Coastal Delta,Kharif,1.18
17,46,20,29.27,52.96,6.9,36.89,mothbeans,Northeast Plain,Zaid,1.42
21,55,16,27.07,43.48,6.82,49.37,mothbeans,Central Plateau,Zaid,1.28
15,51,24,28.94,39.19,7.51,40.78,mothbeans,Northeast Plain,Zaid,1.28
27,47,15,26.89,53.39,6.55,50.66,mothbeans,Central Plateau,Whole Year,1.09
22,51,20,28.84,53.39,7.03,52.07,mothbeans,Western Dry Zone,Zaid,1.4
19,50,19,25.7,53.0,7.69,52.28,mothbeans,Central Plateau,Whole Year,1.33
18,51,17,28.71,81.59,6.42,34.68,mungbean,Coastal Delta,Zaid,1.58
18,58,27,29.14,84.87,6.69,44.72,mungbean,Coastal Delta,Zaid,0.99
23,55,27,28.5,83.61,6.91,41.71,mungbean,Southern Hills,Kharif,1.14
6,54,23,30.19,82.77,6.54,57.01,mungbean,Western Dry Zone,Zaid,1.52
24,60,15,27.78,79.67,6.82,52.31,mungbean,Central Plateau,Rabi,1.08
10,56,20,28.2,84.48,6.98,33.88,mungbean,Coastal Delta,Zaid,1.3
13,48,10,29.57,82.97,6.37,46.5,mungbean,Western Dry Zone,Rabi,1.4
14,55,19,27.47,80.98,6.75,49.21,mungbean,Southern Hills,Zaid,1.25
9,49,13,27.38,82.75,6.42,56.82,mungbean,Western Dry Zone,Kharif,1.63
12,51,15,27.39,85.77,6.24,51.16,mungbean,Western Dry Zone,Rabi,1.39
26,51,30,29.22,85.35,6.34,44.2,mungbean,Coastal Delta,Rabi,1.67
15,49,26,29.02,82.9,6.56,37.1,mungbean,Coastal Delta,Whole Year,1.53
26,53,26,26.77,84.32,6.31,44.84,mungbean,Northeast Plain,Zaid,1.44
13,54,21,27.68,83.53,6.16,45.16,mungbean,Southern Hills,Zaid,1.43
13,44,13,29.29,82.12,6.94,42.18,mungbean,Western Dry Zone,Kharif,1.7
18,54,15,27.43,78.71,7.08,50.88,mungbean,Western Dry Zone,Whole Year,1.44
24,46,26,28.72,84.95,6.26,53.41,mungbean,Coastal Delta,Rabi,1.09
19,46,21,27.86,78.32,6.94,44.01,mungbean,Central Plateau,Zaid,1.08
20,51,29,28.04,85.71,6.32,41.68,mungbean,Coastal Delta,Whole Year,1.34
7,49,23,29.85,80.26,7.15,48.43,mungbean,Southern Hills,Kharif,1.1
16,48,22,27.25,81.56,7.06,52.69,mungbean,Coastal Delta,Zaid,1.68
13,50,14,27.23,86.4,6.86,47.57,mungbean,Southern Hills,Whole Year,1.78
20,44,19,27.3,82.7,6.15,45.68,mungbean,Central Plateau,Whole Year,1.48
11,48,21,30.08,84.44,7.35,62.89,mungbean,Central Plateau,Rabi,1.4
28,43,16,29.01,82.93,6.37,42.25,mungbean,Coastal Delta,Zaid,1.22
29,44,25,30.45,82.8,6.82,48.88,mungbean,Coastal Delta,Kharif,1.66
21,53,15,27.3,81.41,6.79,55.86,mungbean,Western Dry Zone,Kharif,1.5
20,45,18,27.77,87.07,6.83,35.37,mungbean,Coastal Delta,Kharif,1.09
